Repository,Tag Name,Release Name,Published At (ISO),Published Date,Published Time,Author,Is Prerelease,Year,Month,Quarter,Month Name,Week Number,Day of Week (0=Sun),Day Name,Hour (0-23),Time Slot,Is Weekend,Season Quarter,Version Type,Release Type,Is Major Version,Is Patch Version,Is Hotfix,Days Since Epoch
daangn/stackflow,@stackflow/core@1.0.10,@stackflow/core@1.0.10,2024-01-30T10:12:31.000Z,2024-01-30,10:12:31,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/compat-await-push@1.1.7,@stackflow/compat-await-push@1.1.7,2024-01-30T10:12:34.000Z,2024-01-30,10:12:34,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/link@1.3.16,@stackflow/link@1.3.16,2024-01-30T10:12:37.000Z,2024-01-30,10:12:37,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/plugin-basic-ui@1.5.2,@stackflow/plugin-basic-ui@1.5.2,2024-01-30T10:12:40.000Z,2024-01-30,10:12:40,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/plugin-devtools@0.1.8,@stackflow/plugin-devtools@0.1.8,2024-01-30T10:12:43.000Z,2024-01-30,10:12:43,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.9,@stackflow/plugin-google-analytics-4@1.1.9,2024-01-30T10:12:47.000Z,2024-01-30,10:12:47,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/plugin-history-sync@1.3.18,@stackflow/plugin-history-sync@1.3.18,2024-01-30T10:12:49.000Z,2024-01-30,10:12:49,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.5,@stackflow/plugin-map-initial-activity@1.0.5,2024-01-30T10:12:52.000Z,2024-01-30,10:12:52,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/plugin-preload@1.2.15,@stackflow/plugin-preload@1.2.15,2024-01-30T10:12:56.000Z,2024-01-30,10:12:56,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.7,@stackflow/plugin-renderer-basic@1.1.7,2024-01-30T10:12:58.000Z,2024-01-30,10:12:58,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.7,@stackflow/plugin-renderer-web@1.1.7,2024-01-30T10:13:01.000Z,2024-01-30,10:13:01,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/react@1.1.7,@stackflow/react@1.1.7,2024-01-30T10:13:04.000Z,2024-01-30,10:13:04,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.2,@stackflow/plugin-stack-depth-change@1.1.2,2024-01-30T10:13:07.000Z,2024-01-30,10:13:07,github-actions[bot],false,2024,1,1,January,5,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19752
daangn/stackflow,@stackflow/compat-await-push@1.1.8,@stackflow/compat-await-push@1.1.8,2024-02-13T10:25:36.000Z,2024-02-13,10:25:36,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19766
daangn/stackflow,@stackflow/link@1.4.0,@stackflow/link@1.4.0,2024-02-13T10:25:39.000Z,2024-02-13,10:25:39,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,false,false,19766
daangn/stackflow,@stackflow/plugin-basic-ui@1.5.3,@stackflow/plugin-basic-ui@1.5.3,2024-02-13T10:25:42.000Z,2024-02-13,10:25:42,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19766
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.10,@stackflow/plugin-google-analytics-4@1.1.10,2024-02-13T10:25:45.000Z,2024-02-13,10:25:45,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19766
daangn/stackflow,@stackflow/plugin-history-sync@1.4.0,@stackflow/plugin-history-sync@1.4.0,2024-02-13T10:25:48.000Z,2024-02-13,10:25:48,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,false,false,19766
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.6,@stackflow/plugin-map-initial-activity@1.0.6,2024-02-13T10:25:51.000Z,2024-02-13,10:25:51,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19766
daangn/stackflow,@stackflow/plugin-preload@1.3.0,@stackflow/plugin-preload@1.3.0,2024-02-13T10:25:54.000Z,2024-02-13,10:25:54,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,false,false,19766
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.8,@stackflow/plugin-renderer-basic@1.1.8,2024-02-13T10:25:58.000Z,2024-02-13,10:25:58,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19766
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.8,@stackflow/plugin-renderer-web@1.1.8,2024-02-13T10:26:01.000Z,2024-02-13,10:26:01,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19766
daangn/stackflow,@stackflow/react@1.1.8,@stackflow/react@1.1.8,2024-02-13T10:26:03.000Z,2024-02-13,10:26:03,github-actions[bot],false,2024,2,1,February,7,2,Tuesday,19,evening,false,Q1_Winter,semantic,stable,false,true,false,19766
daangn/stackflow,@stackflow/plugin-basic-ui@1.6.0,@stackflow/plugin-basic-ui@1.6.0,2024-05-22T08:10:50.000Z,2024-05-22,08:10:50,github-actions[bot],false,2024,5,2,May,21,3,Wednesday,17,work_afternoon,false,Q2_Spring,semantic,stable,false,false,false,19865
