Repository,Tag Name,Release Name,Published At,Author,Is Prerelease,Year,Month,Week Number,Day of Week
daangn/stackflow,@stackflow/plugin-basic-ui@1.5.3,@stackflow/plugin-basic-ui@1.5.3,2024-02-13T10:25:42.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.10,@stackflow/plugin-google-analytics-4@1.1.10,2024-02-13T10:25:45.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-history-sync@1.4.0,@stackflow/plugin-history-sync@1.4.0,2024-02-13T10:25:48.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.6,@stackflow/plugin-map-initial-activity@1.0.6,2024-02-13T10:25:51.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-preload@1.3.0,@stackflow/plugin-preload@1.3.0,2024-02-13T10:25:54.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.8,@stackflow/plugin-renderer-basic@1.1.8,2024-02-13T10:25:58.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.8,@stackflow/plugin-renderer-web@1.1.8,2024-02-13T10:26:01.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/react@1.1.8,@stackflow/react@1.1.8,2024-02-13T10:26:03.000Z,github-actions[bot],false,2024,2,7,2
daangn/stackflow,@stackflow/plugin-basic-ui@1.6.0,@stackflow/plugin-basic-ui@1.6.0,2024-05-22T08:10:50.000Z,github-actions[bot],false,2024,5,21,3
daangn/stackflow,@stackflow/plugin-history-sync@1.5.0,@stackflow/plugin-history-sync@1.5.0,2024-05-22T08:10:53.000Z,github-actions[bot],false,2024,5,21,3
daangn/stackflow,@stackflow/react@1.1.9,@stackflow/react@1.1.9,2024-05-24T05:14:04.000Z,github-actions[bot],false,2024,5,21,5
daangn/stackflow,@stackflow/plugin-basic-ui@1.7.0,@stackflow/plugin-basic-ui@1.7.0,2024-05-28T01:17:17.000Z,github-actions[bot],false,2024,5,22,2
daangn/stackflow,@stackflow/core@1.0.11,@stackflow/core@1.0.11,2024-07-09T09:38:26.000Z,github-actions[bot],false,2024,7,28,2
daangn/stackflow,@stackflow/plugin-history-sync@1.5.1,@stackflow/plugin-history-sync@1.5.1,2024-07-09T09:38:29.000Z,github-actions[bot],false,2024,7,28,2
daangn/stackflow,@stackflow/core@1.0.12,@stackflow/core@1.0.12,2024-07-22T05:03:37.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/compat-await-push@1.1.9,@stackflow/compat-await-push@1.1.9,2024-07-22T05:03:40.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/link@1.4.1,@stackflow/link@1.4.1,2024-07-22T05:03:43.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.0,@stackflow/plugin-basic-ui@1.8.0,2024-07-22T05:03:46.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.11,@stackflow/plugin-google-analytics-4@1.1.11,2024-07-22T05:03:49.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/plugin-devtools@0.1.9,@stackflow/plugin-devtools@0.1.9,2024-07-22T05:03:52.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.7,@stackflow/plugin-map-initial-activity@1.0.7,2024-07-22T05:03:55.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/plugin-history-sync@1.5.2,@stackflow/plugin-history-sync@1.5.2,2024-07-22T05:03:58.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/plugin-preload@1.3.1,@stackflow/plugin-preload@1.3.1,2024-07-22T05:04:01.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.9,@stackflow/plugin-renderer-basic@1.1.9,2024-07-22T05:04:04.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.9,@stackflow/plugin-renderer-web@1.1.9,2024-07-22T05:04:07.000Z,github-actions[bot],false,2024,7,30,1
